,0,1,2,3,4,5
129,,,"2.87, d (15.8, Hβ)","3.05, dd (16.0, 4.8, Hβ)",,
130,6,"57.0, CH","5.04, br s","5.10, t (4.5)","8.24, d (8.6)",
131,6-OH,,"5.00, br s",,,
132,6a,"140.2, C",,,,
133,7,"181.2, C",,,,
134,7a,"120.0, C",,,,
135,8,"155.6, C",,,,
136,9,"121.9, CH","7.53, d (8.5)","7.48, d (7.5)","7.53, d (8.7)",
137,10,"134.6, CH","7.75, t (7.8)","7.65, t (8.1)","7.26, d (9.6)",
138,11,"119.6, CH","7.56, d (7.5)","7.93, d (7.6)",,
139,11-OH,,,,"12.23, s",
140,11a,"136.0, C",,,,
141,12,"184.3, C",,,,
142,12a,"141.4, C",,,,
143,12b,"113.8, C",,,,
144,"sugar A, β-d-olivose",,,,,
145,1A,"96.5, CH","5.42, d (9.6)","5.18, dd (9.6, 1.8)","5.07, dd (9.4, 1.1)",
146,2A,"38.1, CH2","1.84−1.68, m (complex, Ha)2.36, ddd (12.7, 7.0, 5.1, He)","2.01−1.89, m (complex, Ha)2.64, ddd (12.8, 5.1, 1.6, He)","2.00−1.90, m (complex, Ha)2.79, ddd (12.8, 5.1, 1.6, He)",
147,3A,"68.3, CH","3.64, m","3.71, m","3.73, m",
148,3A-OH,,"4.73, br s","4.71, br s","4.70, br s",
149,4A,"86.5, CH","3.11, dd (8.6, 8.6)","3.11, dd (8.8, 8.8)","3.11, dd (8.8, 8.8)",
150,5A,"70.1, CH","3.35, m","3.45, m","3.46, m",
151,6A,"17.7, CH3","1.16, d (6.1)","1.29, d (6.2)","1.27, d (6.2)",
152,"sugar B, β-d-olivose",,,,,
153,1B,"100.0, CH","4.69, d (9.4)","4.51, dd (7.8, 1.8)","4.51, dd (9.2, 1.3)",
154,2B,"35.8, CH2","1.39−1.26, m, (complex, Ha)2.36, ddd (10.5, 5.0, 1.5, He)","1.70−1.56, m (complex, Ha)2.23, m (complex, He)","1.70−1.50, m (complex, Ha)2.23, m (complex, He),",
155,3B,"73.1, CH","3.55, ddd (12.2, 8.3, 5.2)","3.48, ddd (12.2, 8.3, 5.2)","3.46, ddd (12.2, 8.3, 5.2)",
156,4B,"73.9, CH","2.94, dd (9.0, 8.8)","3.09, dd (8.3, 8.1)","3.10, dd (8.3, 8.1)",
157,4B-OH,,"5.11, br d (5.5)","4.32, br s","4.47, br s",
158,5B,"71.9, CH","3.37, m","3.37, m","3.37, m",
159,6B,"17.8, CH3","1.23, d (6.1)","1.34, d (6.1)","1.34, d (6.1)",
160,"sugar C, α-l-rhodinose",,,,,
161,1C,"92.1, CH","4.88, br s","4.95, br s","4.94, br s",
162,2C,"24.0, CH2","1.82, m (complex, Ha)1.96, m (complex, He)","1.74, m, (complex, Ha)2.01−1.89, m (complex, He)","1.70−1.50, m (complex, Ha)2.00−1. 90, m (complex, He)",
163,3C,"24.0, CH2","1.32, m (complex, Ha)1.94, m (complex, He)","1.52, m (complex, Ha)2.12, m (complex, He)","1.70−1.50, m (complex, Ha)2.12, m (complex, He)",
164,4C,"75.7, CH","3.43, br s","3.52, br s","3.51, br s",
165,4C-OH,,n.o.,n.o.,n.o.,
166,5C,"65.2, CH","4.11, q (6.2)","4.08, q (6.1)","4.06, q (6.4)",
167,6C,"17.0, CH3","1.00, d (6.2)","1.19, d (6.6)","1.18, d (6.4)",
168,"sugar D, β-d-olivose",,,,,
169,1D,"101.8, CH","4.52, d (9.5)","4.49, dd (7.6, 1.9)","4.49, dd (9.3, 1.4)",
170,2D,"38.8, CH2","1.40, m, (complex, Ha)2.07, ddd (11.8, 5.4, 1.5, He)","1.70−1.56, m (complex, Ha)2.29, m (complex, He)","1.70−1.50, m (complex, Ha)2.29, m (complex, He)",
171,3D,"68.7, CH","3.43, m","3.58, m","3.58, m",
